■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-25,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2017-10-24~2019-10-24???영화구분: 일반영화???국적: 한국???지역: 전체???제작사 : 전체???배급사 : 전체???감독명 : 전체???배우명 : 전체???등급별 : 전체???장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
802,그 여자의 죄가 아니다,,"223,000",0.0%,"1,137,000",109,566,1,6,한국,한국,,,,드라마,신상옥,노능걸
802,봉이 김선달,2016-07-06,"794,000",0.0%,"16,227,846,642",109,"2,051,386",2,9,한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희,이규형,송재룡,권태원,김승훈"
802,산나리,,"753,000",0.0%,"753,000",109,109,1,6,한국,한국,,,,다큐멘터리,김응수,
805,SIFF2018-특별단편 2,,"754,000",0.0%,"754,000",108,108,1,2,한국,한국,,,,기타,,
805,장한몽,,"216,000",0.0%,"4,434,000",108,"2,217",1,6,한국,한국,,,,,신상옥,"남궁원,윤정희,신성일,도금봉,사미자,김동원,한은진"
805,제 20회 한국예술종합학교 졸업영화제 섹션10,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션12,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션14,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션16,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션18,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션2,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션20,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션22,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션24,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,드라마,,
805,제 20회 한국예술종합학교 졸업영화제 섹션4,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션6,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
805,제 20회 한국예술종합학교 졸업영화제 섹션8,,"432,000",0.0%,"432,000",108,108,1,1,한국,한국,,,,기타,,
819,극장판 또봇: 로봇군단의 습격,2017-04-27,"672,500",0.0%,"1,090,835,800",107,"141,865",1,18,한국,한국,레트로봇 주식회사,씨제이이앤엠(주),전체관람가,애니메이션,"이달,고동우","하룡이,신경선,이현,박연미,이혜림,이호승,임은경,박지연,박지훈,신준하,정재준,안효민,원지수,윤민영,이경진,최빛나라,최은지,김신영,김신영,김영선"
820,지옥화,1958-04-20,"212,000",0.0%,"7,716,000",106,"3,554",1,9,한국,한국,서울영화사,,미정,"멜로/로맨스,드라마,범죄",신상옥,"김학,최은희,조해원"
821,SIDOF2018_해피해피쿠킹타임/끝과 시작/티켓,,"524,000",0.0%,"524,000",105,105,1,2,한국,한국,,,,다큐멘터리,"유재인,정현정,김태영",
821,로타리,,"700,700",0.0%,"700,700",105,105,1,3,한국,한국,,,,드라마,우윤식,박건아
823,인디애니페스트 2018 독립보행 3,,"502,200",0.0%,"502,200",104,104,1,2,한국,한국,,,,애니메이션,,
824,뜨거운 것이 좋아,2008-01-17,"204,000",0.0%,"3,790,681,000",102,"578,834",1,9,한국,한국,(주)시네마서비스,(주)시네마서비스,15세이상관람가,드라마,권칠인,"이미숙,김민희,안소희,김성수,김준성,송지혜,조영수,한혜진,함현주,김경형,이혜연,김선호,이훈희,정인화,이은성,박광정"
824,모자(母子)란 기억,,"510,000",0.0%,"568,000",102,114,1,2,한국,한국,,,,다큐멘터리,박군제,
824,엄마친구들 2,2018-09-13,"531,000",0.0%,"531,000",102,102,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,임현태,
827,인디애니페스트 2018 독립보행 1,,"535,100",0.0%,"535,100",101,101,1,2,한국,한국,,,,애니메이션,,
828,설날,,"700,000",0.0%,"700,000",100,100,1,1,한국,한국,,,,드라마,박형익,
829,한글자막 화면해설 영화 특별상영회,,"394,000",0.0%,"394,000",99,99,1,3,한국,한국,,,,기타,"조은지,이승환,한가람",
830,SIFF2018-특별단편 1,,"680,000",0.0%,"680,000",98,98,1,2,한국,한국,,,,기타,,
830,개와 고양이를 위한 시간,,"648,500",0.0%,"648,500",98,98,1,1,한국,한국,,,,다큐멘터리,임진평,
832,경치 좋은 자리,,"645,300",0.0%,"645,300",97,97,1,3,한국,한국,,,,드라마,"박중권,임혜령",
833,SIFF2017-특별단편 2,,"661,200",0.0%,"661,200",96,96,1,3,한국,한국,,,,기타,,
833,[인디포럼2018] 신작전 05 변하는 사랑,,"652,000",0.0%,"652,000",96,96,1,2,한국,한국,,,,기타,,
833,강정 인터뷰 프로젝트,,"480,000",0.0%,"522,000",96,103,1,2,한국,한국,,,,다큐멘터리,"김성균,안건형,이원우,김지곤,강세진,박배일,문성준,하샛별",
836,오렌지필름 기획전 - do not reply,,"613,000",0.0%,"613,000",95,95,1,5,한국,한국,,,,기타,,
837,2017 한양대학교 졸업영화제 Exit 2,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,2017 한양대학교 졸업영화제 Exit 3,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,2017 한양대학교 졸업영화제 Exit 4,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,2017 한양대학교 졸업영화제 Exit 5,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,2018 중앙영화제 새벽,,"470,000",0.0%,"470,000",94,94,1,1,한국,한국,,,,기타,,
837,AISFF 2018 인디스토리 특별전 그룹3,,"463,000",0.0%,"463,000",94,94,1,1,한국,한국,,,,기타,,
837,왕후 심청,2005-08-11,"564,000",0.0%,"425,763,000",94,"72,702",1,1,한국,한국,코아필름서울(주),(주)영화사한결,전체관람가,"애니메이션,드라마,판타지",넬슨 신,"강희선,최문자,탁원제,김도현"
837,운신불지처,,"376,000",0.0%,"376,000",94,94,1,1,한국,"한국,중국",,,,기타,,
837,의형제,2010-02-04,"564,000",0.0%,"40,154,381,000",94,"5,416,923",1,1,한국,한국,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",(주)쇼박스,15세이상관람가,"드라마,액션",장훈,"송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,홍서백,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복,박수영,박성연"
837,제 20회 한국예술종합학교 졸업영화제 섹션1,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션11,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션13,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션15,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션17,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션19,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션21,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션23,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션3,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션5,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션7,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
837,제 20회 한국예술종합학교 졸업영화제 섹션9,,"376,000",0.0%,"376,000",94,94,1,1,한국,한국,,,,기타,,
858,SIFF2017-특별단편 6,,"619,400",0.0%,"619,400",93,93,1,3,한국,한국,,,,기타,,
859,1월 단편 상상극장-김초희 단편전,,"728,400",0.0%,"728,400",92,92,1,9,한국,한국,,,,기타,,
859,FIWOM 2019 피움초이스4,,"656,800",0.0%,"656,800",92,92,1,1,한국,한국,,,,드라마,,
859,오렌지필름 영화제 머리에 얹은 마음,,"638,000",0.0%,"638,000",92,92,1,3,한국,한국,,,,기타,,
859,제13회 대단한단편영화제-단편 경쟁 1,,"736,000",0.0%,"736,000",92,92,1,4,한국,한국,,,,기타,,
863,룸싸롱 맛있는 서비스,2018-08-09,"515,000",0.0%,"515,000",91,91,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,"김현진,희우,최철민"
863,착한 자매들,2018-10-12,"509,000",0.0%,"509,000",91,91,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
865,리얼,2017-06-28,"810,000",0.0%,"3,358,122,530",90,"470,195",1,3,한국,한국,(주)코브픽쳐스,씨제이이앤엠(주),청소년관람불가,액션,이사랑,"김수현,성동일,이성민,최진리,조우진,이경영,김홍파,정인겸,최권,한지은,문광무,박서준,장현도,전누리,최안나,이경민,이상훈,이선민,이선민,이성민,이세원,이수연,이정현,이태형,황수진,이형주,임지혜,고규필,황성준,배수지,안소희,현봉식,이정현"
865,침묵의 숲,,"540,000",0.0%,"540,000",90,90,1,1,한국,한국,,,,다큐멘터리,황윤,
867,마지막 첫사랑_썸머프라이드시네마,,"613,000",0.0%,"613,000",88,88,1,2,한국,한국,,,,기타,,
867,한국인을 관두는 법,,"677,000",0.0%,"677,000",88,88,1,3,한국,한국,,,,다큐멘터리,안건형,
869,내일부터 우리는,,"607,000",0.0%,"607,000",87,87,1,2,한국,한국,,,,드라마,윤성호,
870,유관순,,"172,000",0.0%,"1,764,000",86,882,1,6,한국,한국,,,,드라마,윤봉춘,"도금봉,한은진"
870,흑권,1973-09-09,"172,000",0.0%,"1,876,000",86,938,1,6,한국,한국,안양,,12세이상관람가,액션,황풍,"이준구,모영"
872,산딸기 4,1991-03-23,"168,000",0.0%,"168,000",84,84,1,3,한국,한국,(주)태광영화사,,연소자관람불가,"사극,성인물(에로)",윤지형,"강혜지,최재호,김국현"
872,여친 언니,2018-10-04,"495,000",0.0%,"495,000",84,84,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,희우
872,피아골,1955-09-23,"168,000",0.0%,"1,468,000",84,734,1,5,한국,한국,백호프로덕션,,,"드라마,전쟁",이강천,"노경희,김진규,허장강,이예춘"
875,SIFF2017-선택단편 1,,"577,000",0.0%,"577,000",83,83,1,3,한국,한국,,,,기타,,
876,노래방 : 화끈한 여자들,2018-11-09,"578,000",0.0%,"578,000",81,81,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,이채담
877,13th 필름다빈 프로젝트 : 김현목 배우전,,"800,000",0.0%,"800,000",80,80,1,1,한국,한국,,,,기타,,
877,FIWOM 2019 피움초이스2,,"553,000",0.0%,"553,000",80,80,1,1,한국,한국,,,,드라마,,
877,SIDOF2019_상/적막의 경관/야경,,"560,000",0.0%,"560,000",80,80,1,2,한국,한국,,,,다큐멘터리,,
877,개인교수 : 성적 올리기,2018-10-25,"486,000",0.0%,"486,000",80,80,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,"윤재,윤재"
877,밤빛,,"493,000",0.0%,"493,000",80,80,1,12,한국,한국,,,,"드라마,가족",김무영,송재룡
882,귀신과 함께 춤을,2018-11-30,"158,000",0.0%,"158,000",79,79,1,1,한국,한국,(주)인피니티엔터테인먼트,(주)인피니티엔터테인먼트,청소년관람불가,"멜로/로맨스,코미디",백감독,"이관훈,주민하,김진호,이재준"
882,제12회 대단한 단편영화제 감독 특별전,,"632,000",0.0%,"632,000",79,79,1,3,한국,한국,,,,기타,이옥섭,
882,파워배틀 와치카: 와치가면의 역습,2017-06-01,"513,500",0.0%,"166,933,500",79,"23,675",1,26,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,"이영준,김래경","엄상현,전태열,정혜원"
885,[인디포럼2018] 신작전 11 이상한 나라의 하우스,,"546,000",0.0%,"546,000",78,78,1,2,한국,한국,,,,기타,,
886,엄마친구 5,2018-08-24,"625,000",0.0%,"625,000",77,77,20,21,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,명석환,서은영
886,주홍글씨,2004-10-29,"182,000",0.0%,"6,649,722,000",77,"1,030,570",1,4,한국,한국,(주)엘제이필름,(주)쇼박스,18세관람가,"스릴러,멜로/로맨스",변혁,"성현아,한석규,이은주,변혁,엄지원,김중기"
886,착한 엄마 2,2018-10-19,"481,000",0.0%,"481,000",77,77,20,20,한국,한국,"(주)영화사 사계절,대호필름",(주)영화사 사계절,청소년관람불가,멜로/로맨스,곽영근,
889,15th 필름다빈 프로젝트: 김시은 배우전,,"683,000",0.0%,"683,000",76,76,1,2,한국,한국,,,,기타,,
889,2017 강원영상인육성사업-단편부문 제작지원작 상영회,,"684,000",0.0%,"684,000",76,76,1,1,한국,한국,,,,기타,,
889,[인디포럼2018] 신작전 09 스스로를 지키는 법,,"532,000",0.0%,"532,000",76,76,1,2,한국,한국,,,,기타,,
889,범일동 극장 트리오,,"76,000",0.0%,"76,000",76,76,1,3,한국,한국,,,,기타,김지곤,
889,오렌지필름 기획전 - 아마도 계속 될 이야기,,"523,000",0.0%,"523,000",76,76,1,5,한국,한국,,,,드라마,오정민,
889,제12회 대단한 단편영화제 단편 경쟁 섹션 1,,"608,000",0.0%,"608,000",76,76,1,3,한국,한국,,,,기타,,
889,제6회 광진인권행동영화제 단편1,,"836,000",0.0%,"836,000",76,76,1,1,한국,한국,,,,드라마,,
889,제6회 광진인권행동영화제 단편2,,"836,000",0.0%,"836,000",76,76,1,1,한국,한국,,,,드라마,,
897,제12회 대단한 단편영화제 단편 경쟁 섹션 3,,"600,000",0.0%,"600,000",75,75,1,3,한국,한국,,,,기타,,
897,탐정 홍길동: 사라진 마을,2016-05-04,"750,000",0.0%,"11,516,920,845",75,"1,430,960",1,1,한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용,김하나,고우림"
899,7번방의 선물,2013-01-23,"410,000",0.0%,"91,433,692,670",74,"12,811,509",12,28,한국,한국,"(주)화인웍스,(주)씨엘엔터테인먼트",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이환경,"류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연"
899,공조,2017-01-18,"366,000",0.0%,"63,783,303,326",74,"7,817,654",1,6,한국,한국,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘,박형수,서은지,신유철,이재남,공정환,김준한,신문성,엄효섭"
899,오렌지필름 기획전-무슨 말이 필요해!,,"578,000",0.0%,"578,000",74,74,1,5,한국,한국,,,,기타,,
899,오하늬배우 상영회,,"808,000",0.0%,"808,000",74,74,1,1,한국,한국,,,,기타,,
903,아저씨,2010-08-04,"466,500",0.0%,"47,104,059,000",73,"6,178,665",1,6,한국,한국,오퍼스픽쳐스(유),씨제이엔터테인먼트,청소년관람불가,"액션,드라마",이정범,"원빈,김새론,김희원,김성오,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕,김영아,김태훈"
903,오렌지필름 기획전 - 2 4/2 4 - 이사 혹은 사이,,"556,000",0.0%,"556,000",73,73,1,5,한국,한국,,,,기타,,
903,오렌지필름 기획전 - 사각 사각,,"715,000",0.0%,"715,000",73,73,1,3,한국,한국,,,,기타,,
903,오렌지필름 기획전-핑퐁,,"506,500",0.0%,"506,500",73,73,1,7,한국,한국,,,,드라마,,
903,정사 : 자매의 유혹,2018-08-16,"473,000",0.0%,"473,000",73,73,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
908,10월 단편 상상극장-제12회 대단한 단편영화제 수상작 모음,,"576,000",0.0%,"576,000",72,72,1,5,한국,한국,,,,기타,,
908,여교사 : 제자와의 사랑,2018-08-02,"471,000",0.0%,"471,000",72,72,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민,"이채담,김지연"
908,우경,,"479,000",0.0%,"479,000",72,72,1,6,한국,한국,,,,,,
908,장준휘배우 상영회,,"788,000",0.0%,"788,000",72,72,1,1,한국,한국,,,,드라마,,
908,제12회 대단한 단편영화제 단편 경쟁 섹션 4,,"576,000",0.0%,"576,000",72,72,1,3,한국,한국,,,,기타,,
913,[인디포럼2018] 신작전 08 세상의 중심에서 나를 외치다,,"497,000",0.0%,"497,000",71,71,1,2,한국,한국,,,,기타,,
913,내 여자친구의 엄마,2018-12-04,"518,000",0.0%,"518,000",71,71,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,박주빈
913,밀애 : 아내의 여동생,2018-11-15,"518,000",0.0%,"518,000",71,71,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
913,인디애니페스트 2018 독립보행 2,,"343,000",0.0%,"343,000",71,71,1,2,한국,한국,,,,애니메이션,,
917,AISFF 2018 인디스토리 특별전 그룹2,,"335,000",0.0%,"335,000",70,70,1,1,한국,한국,,,,드라마,,
917,[인디포럼2018] 신작전 12 탐구생활: 움직이는 마음,,"490,000",0.0%,"490,000",70,70,1,2,한국,한국,,,,기타,,
917,내 학생의 엄마 3,2018-09-07,"467,000",0.0%,"467,000",70,70,20,21,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,박주빈
917,제20회 대전독립영화제 본 인 대전,,"350,000",0.0%,"350,000",70,70,1,1,한국,한국,,,,드라마,,
917,좋은 친구들,2014-07-10,"770,000",0.0%,"3,223,060,031",70,"407,323",1,1,한국,한국,"오퍼스픽쳐스(유),굿초이스컷픽쳐스(주)",씨제이이앤엠(주),청소년관람불가,"범죄,드라마",이도윤,"한도진,지성,주지훈,이광수,강봉성,최현희,이승우,이재형,최병모,최진호,남문철,김태준"
922,출간 기념 상영회,,"663,000",0.0%,"663,000",69,69,1,1,한국,한국,,,,기타,,
922,공공의 적,2002-01-24,"622,500",0.0%,"1,768,000",69,207,1,2,한국,한국,(주)시네마서비스,(주)시네마서비스,18세관람가,"범죄,액션",강우석,"설경구,이성재,강신일,안내상,이문식,성지루,유해진,허명행,조규성,조영민,조용수,김병인,금종택,서범식,명영호,김다은,김경은,서지오,전재홍,정기성,양재성,이충희,안석환,기주봉,윤문식,김강일,이도겸,권병길,이칸희,권태원"
922,비밀은 없다,2016-06-23,"723,000",0.0%,"2,030,168,239",69,"250,904",1,3,한국,한국,"(주)영화사거미,필름트레인",씨제이이앤엠(주),청소년관람불가,스릴러,이경미,"손예진,김주혁,장재우,장한승,신지훈,이민아,이상희,김소희,예수정,최유화,손성찬"
922,스와핑 : 친구의 아내 2,2018-07-19,"470,000",0.0%,"470,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,"이은미,박주빈"
922,신혼부부의 성생활,2018-07-12,"470,000",0.0%,"470,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
922,엄마의 유혹,2018-07-31,"465,000",0.0%,"465,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,"이은미,박주빈"
922,여친엄마 2,2018-08-30,"465,000",0.0%,"465,000",69,69,19,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민,"이채담,이수민,이준혁"
922,연애 : 엄마친구,2018-07-10,"470,000",0.0%,"470,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,"이은미,박주빈,이광우"
922,오렌지필름 기획전 - 아름다운 것,,"464,000",0.0%,"464,000",69,69,1,5,한국,한국,,,,기타,,
922,젊은 엄마 친구,2018-09-28,"465,000",0.0%,"465,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,윤재
922,정사 : 처제의 사랑,2018-07-26,"465,000",0.0%,"465,000",69,69,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최민,"이채담,도모세,김지연"
933,FIWOM 2019 피움초이스3,,"476,000",0.0%,"476,000",68,68,1,1,한국,한국,,,,드라마,,
933,바람의 언덕,,"509,000",0.0%,"509,000",68,68,1,1,한국,한국,,,,드라마,박석영,"정은경,장선,김태희,김준배,장해금,박소이"
933,제20회 부산독립영화제 - 경쟁2,,"380,000",0.0%,"380,000",68,68,1,2,한국,한국,,,,기타,,
936,단편섹션 2 (이주영 배우전),,"335,000",0.0%,"335,000",67,67,1,3,한국,한국,,,,기타,,
936,라오스,,"508,000",0.0%,"1,517,000",67,244,1,3,한국,한국,,센트럴파크,,"코미디,드라마",임정환,조현철
936,오렌지필름 기획전 - 어느 것을 고를까요?,,"455,000",0.0%,"455,000",67,67,1,5,한국,한국,,,,기타,,
939,AISFF 2018 뉴필름메이커 그륩1,,"330,000",0.0%,"330,000",66,66,1,1,한국,한국,,,,기타,,
939,단편4: 여성의 시간들 ?인디피크닉2019,,"405,500",0.0%,"405,500",66,66,1,5,한국,한국,,,,기타,,
939,수퍼 디스코,,"594,000",0.0%,"594,000",66,66,1,2,한국,한국,명필름랩,(주)리틀빅픽쳐스,,다큐멘터리,이주호,"나잠 수,JJ핫산,김간지,지,홍기,고건혁"
939,심도,2011-03-17,"435,000",0.0%,"1,036,500",66,140,1,2,한국,"한국,일본",한국영화아카데미,씨제이이앤엠(주),청소년관람불가,드라마,류스케 하마구치,"김민준,이시다 호시"
943,오렌지필름 3주년,,"441,000",0.0%,"441,000",63,63,1,2,한국,한국,,,,기타,,
943,임호준배우 상영회,,"683,000",0.0%,"683,000",63,63,1,1,한국,한국,,,,기타,,
945,열혈남아,2006-11-09,"555,500",0.0%,"2,835,529,300",62,"466,169",1,2,한국,한국,(주)싸이더스,씨제이엔터테인먼트,15세관람가,"드라마,범죄,액션",이정범,"설경구,김호연,조한선,최경원,김경란,김영옥,나문희,주진모,김경희,조나현,최준영,이문호,윤종석,오민석,이준희,이현상,김준배,조덕제,윤제문,조희봉,오민석"
945,유은정 감독 특별전(인디스데이),,"411,500",0.0%,"411,500",62,62,1,9,한국,한국,,,,기타,유은정,
947,SIFF2018-특별단편 3,,"413,000",0.0%,"413,000",61,61,1,2,한국,한국,,,,기타,,
947,제13회 대단한단편영화제-단편 경쟁 4,,"488,000",0.0%,"488,000",61,61,1,4,한국,한국,,,,기타,,
949,가슴 큰 여자친구 무삭제판,2019-08-28,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)담화,(주)담화,청소년관람불가,멜로/로맨스,준세,
949,그녀와 아줌마의 동거,2018-12-07,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)나우콘텐츠,(주)나우콘텐츠,청소년관람불가,,유강,"진시아,설영,조완진"
949,누나의맛 무삭제판,,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)담화,,청소년관람불가,기타,,
949,리얼라이저,2018-09-03,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,유로 프로덕션,유로 프로덕션,청소년관람불가,"성인물(에로),코미디,판타지",백마,"안민상,이유찬"
949,"밀양, 반가운 손님",,"300,000",0.0%,"1,264,500",60,248,1,2,한국,한국,,,,다큐멘터리,"하샛별,노은지,허철녕,넝쿨,이재환",
949,아내의알바,,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,,,청소년관람불가,"드라마,멜로/로맨스",최정자,
949,여배우: 섹스수업 무삭제판,,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,,,청소년관람불가,멜로/로맨스,노승택,"조완진,이채담"
949,옆집아가씨 무삭제판,2019-08-01,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)담화,(주)담화,청소년관람불가,기타,신성진,
949,올래?! 천사들의 도시편 무삭제,2017-11-21,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,노승탁,
949,음란한 모델 무삭제판,2018-11-02,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,노승택,
949,제13회 대단한단편영화제-단편 경쟁 2,,"480,000",0.0%,"480,000",60,60,1,4,한국,한국,,,,기타,,
949,탐스런 옆집아내,,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,,,청소년관람불가,"드라마,멜로/로맨스",한동연,
949,화끈한 홈서비스 무삭제판,2018-08-17,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)제이에이와이이엔터테인먼트,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,노승택,
962,7월 단편 상상극장-SING,,"464,000",0.0%,"464,000",58,58,1,5,한국,한국,,,,기타,,
962,"감각의 시간, 기억의 공간 ?인디피크닉2018",,"298,000",0.0%,"298,000",58,58,2,11,한국,한국,,,,기타,,
962,섹스하기 좋은 날 무삭제,2019-03-12,"177,000",0.0%,"177,000",58,58,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김이슬,"박주빈,도모세"
962,청연,2005-12-29,"176,000",0.0%,"3,106,824,400",58,"496,061",1,2,한국,한국,코리아픽쳐스(주),코리아픽쳐스(주),12세관람가,드라마,윤종찬,"장진영,김주혁,김응수,한지민,나카무라 토오루,진태현,현종욱,최호진,박상윤,박성진,임정혁,유재명,이승호"
